"title","gross"
"12 Years a Slave","923715"
"All Is Lost","93583"
"American Hustle","740455"
"August: Osage County","139915"
"Before Midnight","246914"
"Blue Jasmine","612064"
"Captain Phillips","25718314"
"Dallas Buyers Club","260865"
"Despicable Me 2","83517315"
"Frozen","67391326"
"Gravity","55785112"
"Her","260382"
"Inside Llewyn Davis","405411"
"Iron Man Three","174144585"
"Jackass Presents: Bad Grandpa","32055177"
"Kaze tachinu","313751"
"Lone Survivor","84857"
"Mandela: Long Walk to Freedom","84283"
"Nebraska","140401"
"Philomena","128435"
"Prisoners","20817053"
"Saving Mr. Banks","413373"
"Star Trek Into Darkness","70165559"
"The Book Thief","105005"
"The Croods","43639736"
"The Great Gatsby","50085184"
"The Hobbit: The Desolation of Smaug","73645197"
"The Invisible Woman","27136"
"The Lone Ranger","29210849"
"The Wolf of Wall Street","18510000"
"Yi dai zong shi","132617"
