"genre","total"
"Action","833"
"Adventure","397"
"Animation","237"
"Biography","188"
"Comedy","2354"
"Crime","560"
"Drama","4310"
"Family","492"
"Fantasy","346"
"Game-Show","2"
"History","169"
"Horror","996"
"Music","200"
"Musical","123"
"Mystery","488"
"News","9"
"Reality-TV","5"
"Romance","965"
"Sci-Fi","423"
"Short","2"
"Sport","93"
"Talk-Show","6"
"Thriller","1468"
"War","96"
"Western","45"
