"genre","total"
"Action","6"
"Adventure","9"
"Animation","4"
"Biography","10"
"Comedy","7"
"Crime","4"
"Drama","23"
"Family","3"
"Fantasy","4"
"History","5"
"Music","2"
"Musical","1"
"Romance","5"
"Sci-Fi","5"
"Thriller","4"
"War","3"
"Western","1"
